LK_ID,LK_Name,LK_Type,Population,BL_Code,BL_Name,Twitter Account
11008,Berlin Neukölln,Bezirk,329691,BE,Berlin,BerlinNkl
3159,Göttingen,Landkreis,328074,NI,Niedersachsen,-
5314,Bonn,Kreisfreie Stadt,327258,NW,Nordrhein-Westfalen,bonn_de
3454,Emsland,Landkreis,325657,NI,Niedersachsen,-
5954,Ennepe-Ruhr-Kreis,Kreis,324296,NW,Nordrhein-Westfalen,-
14524,Zwickau,Landkreis,317531,SN,Sachsen,-
1056,Pinneberg,Kreis,314391,SH,Schleswig-Holstein,Kreis_Pinneberg
5515,Münster,Kreisfreie Stadt,314319,NW,Nordrhein-Westfalen,MS_Stadt
8136,Ostalbkreis,Landkreis,314002,BW,Baden-Württemberg,LRA_Ostalbkreis
8212,Karlsruhe,Stadtkreis,313092,BW,Baden-Württemberg,Stadt_Karlsruhe
5154,Kleve,Kreis,310974,NW,Nordrhein-Westfalen,Kreis_Kleve
5770,Minden-Lübbecke,Kreis,310710,NW,Nordrhein-Westfalen,-
8222,Mannheim,Stadtkreis,309370,BW,Baden-Württemberg,__Mannheim
11006,Berlin Steglitz-Zehlendorf,Bezirk,308697,BE,Berlin,basz_berlin
5774,Paderborn,Kreis,306890,NW,Nordrhein-Westfalen,KreisPaderborn
6440,Wetteraukreis,Landkreis,306460,HE,Hessen,Bruchenbruecken
14522,Mittelsachsen,Landkreis,306185,SN,Sachsen,-
5974,Soest,Kreis,301902,NW,Nordrhein-Westfalen,KreisSoest
14625,Bautzen,Landkreis,300880,SN,Sachsen,LandkreisBZ
5166,Viersen,Kreis,298935,NW,Nordrhein-Westfalen,kreisviersen
6432,Darmstadt-Dieburg,Landkreis,297399,HE,Hessen,-
9761,Augsburg,Kreisfreie Stadt,295135,BY,Bayern,stadtaugsburg
11011,Berlin Lichtenberg,Bezirk,291452,BE,Berlin,BaLichtenberg
11002,Berlin Friedrichshain-Kreuzberg,Bezirk,289762,BE,Berlin,BA_Xhain
8415,Reutlingen,Landkreis,286748,BW,Baden-Württemberg,-
8335,Konstanz,Landkreis,285325,BW,Baden-Württemberg,-
8436,Ravensburg,Landkreis,284285,BW,Baden-Württemberg,-
5378,Rheinisch-Bergischer Kreis,Kreis,283455,NW,Nordrhein-Westfalen,-
6414,Wiesbaden,Kreisfreie Stadt,278342,HE,Hessen,Stadt_Wiesbaden
5970,Siegen-Wittgenstein,Kreis,278210,NW,Nordrhein-Westfalen,Kreis_SiWi
5570,Warendorf,Kreis,277783,NW,Nordrhein-Westfalen,Kreis_Warendorf
3254,Hildesheim,Landkreis,276594,NI,Niedersachsen,-
1060,Segeberg,Kreis,276032,SH,Schleswig-Holstein,-
6433,Groß-Gerau,Landkreis,274526,HE,Hessen,-
1058,Rendsburg-Eckernförde,Kreis,272775,SH,Schleswig-Holstein,-
